"","county","count_black","total","population_of_one_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","population_of_two_or_more_races","population_of_two_races","white_black_or_african_american","white_american_indian_and_alaska_native","white_asian","white_native_hawaiian_and_other_pacific_islander","white_some_other_race","black_or_african_american_american_indian_and_alaska_native","black_or_african_american_asian","black_or_african_american_native_hawaiian_and_other_pacific_islander","black_or_african_american_some_other_race","american_indian_and_alaska_native_asian","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_some_other_race","asian_native_hawaiian_and_other_pacific_islander","asian_some_other_race","native_hawaiian_and_other_pacific_islander_some_other_race","population_of_three_races","white_black_or_african_american_american_indian_and_alaska_native","white_black_or_african_american_asian","white_black_or_african_american_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_some_other_race","white_american_indian_and_alaska_native_asian","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander","white_asian_some_other_race","white_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_asian_some_other_race","black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_asian_some_other_race","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_four_races","white_black_or_african_american_american_indian_and_alaska_native_asian","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_asian_some_other_race","white_black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_asian_some_other_race","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_five_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_six_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","total_black","total_white","black_killed_per_huntho"
"21","Pointe Coupee",1,"20758","20028","12395",7245,"   50","   65","    2","  271","  730","  670",159,"   92","   25","    4","  309",20,3,0,34,"    6","    0","   11","    2","    0","    5","   49",20,1,1,6,"    1","    1","    5","    3","    5","    2",0,3,0,0,1,0,"    0","    0","    0","    0","   11",0,3,4,0,4,0,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,7504,12395,13.3262260127932
"22","Rapides",4,"130023","123167"," 77510",40484,"  1026","  1828","    35","  2284","  6856","  6394",1256,"  1951","   552","    45","  2021",259,78,5,191,"     3","     0","    16","     6","     5","     6","   417",172,40,0,60,"     5","     5","   103","     4","    24","     0",2,1,0,1,0,0,"     0","     0","     0","     0","    38",10,0,24,1,0,0,"     0","     1","     1","     0",0,1,0,0,"     0","     2",0,0,0,0,"     0",2,"     5",5,42592,77510,9.39143501126972
"23","Red River",1,"7620","7275","4195",2965,"  47","   1","   0","  67"," 345"," 289",97," 109","  13","   0","  56",7,1,0,6,"   0","   0","   0","   0","   0","   0","  45",19,1,0,1,"   2","   0","  15","   5","   1","   0",0,0,1,0,0,0,"   0","   0","   0","   0","  11",0,0,7,1,0,0,"   0","   3","   0","   0",0,0,0,0,"   0","   0",0,0,0,0,"   0",0,"   0",0,3106,4195,32.1957501609788
"24","Sabine",1,"22155","20792","15036",3529," 1926","   63","   12","  226"," 1363"," 1284",190,"  771","   22","    6","  195",76,9,0,7,"    0","    0","    7","    1","    0","    0","   63",27,3,0,1,"    4","    4","   13","    2","    0","    2",0,0,6,0,1,0,"    0","    0","    0","    0","   14",0,0,5,0,0,0,"    1","    1","    2","    0",5,0,0,0,"    0","    2",0,2,0,0,"    0",0,"    0",0,3861,15036,25.9000259000259
"25","St. Bernard",1,"43764","39443","24497",11507,"  323","  997","   18"," 2101"," 4321"," 4009",459,"  507","  312","    8"," 2493",54,7,6,112,"    0","    0","   37","    3","    2","    9","  277",46,16,8,55,"   12","    0","   79","    8","   40","    1",5,0,1,0,2,3,"    0","    0","    1","    0","   21",5,0,4,1,3,0,"    0","    6","    0","    0",0,2,0,0,"    0","   12",0,11,0,0,"    1",0,"    2",2,12309,24497,8.12413681046389
"26","St. Helena",1,"10920","10567"," 4527",5861,"   45","   20","    7","  107","  353","  303",105,"   79","    2","    1","   74",18,0,0,16,"    0","    2","    0","    4","    2","    0","   46",9,0,0,9,"    0","    0","    8","    2","    9","    0",0,0,9,0,0,0,"    0","    0","    0","    0","    1",0,0,1,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    3",1,2,0,0,"    0",0,"    0",0,6031,4527,16.5809981760902
"27","St. John The Baptist",2,"42477","40183","13877",24305,"  167","  317","   12"," 1505"," 2294"," 2194",520,"  258","   69","    6"," 1007",73,20,3,206,"    2","    0","   16","    4","    4","    6","   92",42,8,0,9,"    6","    4","   20","    0","    0","    0",0,0,0,0,0,2,"    1","    0","    0","    0","    5",0,0,0,0,3,0,"    0","    0","    0","    0",0,1,0,1,"    0","    3",0,3,0,0,"    0",0,"    0",0,25196,13877,7.93776789966661
"28","St. Landry",1,"82540","79772","43611",34360,"  202","  380","   13"," 1206"," 2768"," 2559",850,"  405","   95","   11","  719",165,20,0,266,"    4","    1","   10","    0","    8","    5","  191",96,5,1,52,"    1","    1","   17","    9","    0","    4",2,0,0,0,3,0,"    0","    0","    0","    0","   12",0,1,5,0,0,0,"    2","    0","    0","    0",0,0,0,4,"    0","    6",2,0,0,4,"    0",0,"    0",0,35836,43611,2.79049001004576
"29","St. Martin",2,"51767","49734","33259",15099,"  202","  441","    3","  730"," 2033"," 1865",577,"  310","   98","   14","  701",41,18,0,90,"    4","    0","    8","    1","    3","    0","  152",38,7,0,23,"   15","    0","   19","   11","   24","    3",4,3,5,0,0,0,"    0","    0","    0","    0","   16",5,0,4,5,0,2,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,15921,33259,12.5620249984297
"30","Tangipahoa",1,"133157","125921"," 81336",40039,"   533","  1003","    24","  2986","  7236","  6811",1216,"  1759","   382","    58","  2937",184,25,19,150,"     8","     1","    44","    14","    12","     2","   376",112,4,0,64,"    24","     4","   113","    15","    12","     7",0,3,10,5,2,0,"     0","     0","     0","     1","    30",0,0,25,0,1,0,"     3","     0","     0","     0",0,1,0,0,"     0","    19",5,14,0,0,"     0",0,"     0",0,41879,81336,2.38783161011485
"31","Terrebonne",3,"109580","102453"," 69934",21253,"  6070","  1322","    40","  3834","  7127","  6648",975,"  2412","   301","    26","  2215",470,31,3,122,"    27","     9","    48","     6","     3","     0","   437",176,12,4,52,"    39","     0","    98","    19","    20","     4",0,0,5,2,0,6,"     0","     0","     0","     0","    40",8,4,15,3,0,0,"     0","     2","     0","     3",3,0,0,2,"     0","     2",0,1,0,0,"     1",0,"     0",0,23147,69934,12.9606428478853
"32","Vermilion",1,"57359","54848","44477",7931,"  195"," 1263","   13","  969"," 2511"," 2384",668,"  406","  151","   29","  989",15,10,7,90,"    6","    0","    2","    5","    6","    0","  115",28,12,0,34,"    5","    0","   20","    4","    2","    2",0,0,6,1,0,1,"    0","    0","    0","    0","   11",1,0,6,0,0,0,"    0","    0","    0","    3",0,0,0,0,"    1","    1",0,0,0,0,"    1",0,"    0",0,8810,44477,11.3507377979569
"33","Vernon",1,"48750","44667","35087",6491,"  566","  888","  301"," 1334"," 4083"," 3800",714,"  978","  409","   73"," 1284",68,60,10,92,"    9","    0","   16","   56","   14","   17","  251",67,41,7,13,"   17","    6","   34","   24","   21","    1",10,5,4,0,1,0,"    0","    0","    0","    0","   29",5,1,8,6,3,0,"    3","    1","    0","    0",0,0,0,2,"    0","    3",3,0,0,0,"    0",0,"    0",0,7611,35087,13.1388779398239
"34","Washington",1,"45463","43664","29943",12858,"  143","  164","    0","  556"," 1799"," 1700",395,"  573","   36","    4","  574",54,11,2,40,"    0","    0","    7","    2","    2","    0","   79",25,4,0,17,"    9","    0","   13","    2","    0","    0",0,0,3,6,0,0,"    0","    0","    0","    0","   18",0,0,6,1,0,0,"    0","    1","    0","    0",0,0,0,10,"    0","    2",0,2,0,0,"    0",0,"    0",0,13434,29943,7.44379931517046
"35","West Baton Rouge",3,"27199","25962","14307",10754,"   85","  220","   10","  586"," 1237"," 1151",261,"  217","   44","   11","  502",43,7,3,51,"    3","    3","    0","    5","    1","    0","   78",19,2,2,14,"    2","    2","   19","    6","    0","    0",0,1,1,4,4,0,"    2","    0","    0","    0","    8",2,0,2,0,0,0,"    0","    4","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,11170,14307,26.857654431513
"36","Winn",1,"13755","13261"," 8594",3525,"   77","  173","   20","  872","  494","  437",139,"  172","   23","    4","   60",7,4,1,13,"    1","    0","   11","    2","    0","    0","   50",10,3,4,7,"    1","    0","    3","    7","    0","    5",3,0,3,4,0,0,"    0","    0","    0","    0","    3",0,0,3,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    4",0,1,0,0,"    3",0,"    0",0,3727,8594,26.8312315535283
