Agency,Reperesentation Status
State Parks Chicot,Not Represented in Misconduct Data
State Parks Cypremort,Not Represented in Misconduct Data
State Parks Fontainebleau,Not Represented in Misconduct Data
State Parks Grand Isle,Not Represented in Misconduct Data
State Parks Jimmie Davis,Not Represented in Misconduct Data
State Parks Lake Bistineau,Not Represented in Misconduct Data
State Parks Lake Bruin,Not Represented in Misconduct Data
State Parks Lake Claiborne,Not Represented in Misconduct Data
State Parks Lake Darbonne,Not Represented in Misconduct Data
State Parks Lake Fausse Point,Not Represented in Misconduct Data
State Parks North Toledo Bend,Not Represented in Misconduct Data
State Parks Port Hudson,Not Represented in Misconduct Data
State Parks South Toledo Bend,Not Represented in Misconduct Data
State Parks Sam Houston Jones,Not Represented in Misconduct Data
State Parks St Bernard,Not Represented in Misconduct Data
State Parks Tickfaw,Not Represented in Misconduct Data
Stonewall Police Department,Not Represented in Misconduct Data
Sulphur City Marshal,Not Represented in Misconduct Data
Sun Marshal Office,Not Represented in Misconduct Data
Sun Police Department,Not Represented in Misconduct Data
Tallulah Police Department,Not Represented in Misconduct Data
Tangipahoa District Attorney's Office,Not Represented in Misconduct Data
Tangipahoa Police Department,Not Represented in Misconduct Data
Tensas Basin Levee District,Not Represented in Misconduct Data
Tensas Parish Sheriff's Office,Not Represented in Misconduct Data
Terrebonne City Marshal,Not Represented in Misconduct Data
Terrebonne District Attorney's Office,Not Represented in Misconduct Data
Thibodaux City Marshal's Office,Not Represented in Misconduct Data
Tickfaw Police Department,Not Represented in Misconduct Data
Tulane University Police Department,Not Represented in Misconduct Data
Tullos Police Department,Not Represented in Misconduct Data
Tunica Biloxi Police Department,Not Represented in Misconduct Data
Turkey Creek Police Department,Not Represented in Misconduct Data
Ula Police Department,Not Represented in Misconduct Data
ULL University Police Department,Not Represented in Misconduct Data
ULM University Police Department,Not Represented in Misconduct Data
Union Detention Center,Not Represented in Misconduct Data
Union Pacific Railroad,Not Represented in Misconduct Data
UNO Police Department,Not Represented in Misconduct Data
UNO University Police Department,Not Represented in Misconduct Data
US Army Military Police Department,Not Represented in Misconduct Data
United States Government Security,Not Represented in Misconduct Data
United States Immigration and Naturalization Service,Not Represented in Misconduct Data
US Marshal Service,Not Represented in Misconduct Data
USAF Military Police Department,Not Represented in Misconduct Data
USL University Police Department,Not Represented in Misconduct Data
Varnado Police Department,Not Represented in Misconduct Data
Vidalia Police Department,Not Represented in Misconduct Data
Ville Platte City Marshal,Not Represented in Misconduct Data
Vivian Police Department,Not Represented in Misconduct Data
Walker Police Department,Not Represented in Misconduct Data
Ward 1 Marshal,Not Represented in Misconduct Data
Ward 3 Marshal,Not Represented in Misconduct Data
Ward 4 Marshal,Not Represented in Misconduct Data
Ward II Marshal,Not Represented in Misconduct Data
Washington Parish Constable,Not Represented in Misconduct Data
Webster Coroners Office,Not Represented in Misconduct Data
Webster Marshal,Not Represented in Misconduct Data
West Feliciana Parish Sheriff's Office,Not Represented in Misconduct Data
West Monroe Fire Department,Not Represented in Misconduct Data
West Monroe Marshal,Not Represented in Misconduct Data
Westlake Police Department,Not Represented in Misconduct Data
Westwego Police Department,Not Represented in Misconduct Data
White Castle Police Department,Not Represented in Misconduct Data
Wildlife and Fisheries,Not Represented in Misconduct Data
Wilson Police Department,Not Represented in Misconduct Data
Winn Parish Sheriff's Office,Not Represented in Misconduct Data
Winnfield City Marshal,Not Represented in Misconduct Data
Woodworth Police Department,Not Represented in Misconduct Data
Youngsville Police Department,Not Represented in Misconduct Data
Youth Development,Not Represented in Misconduct Data
Zwolle Police Department,Not Represented in Misconduct Data
